query_id,query,repeat,workflow_id,started_at,generation_status,test_status,dryrun_status,plan_s,identify_s,assemble_s,dryrun_s,exec_s,total_s,llm_calls,llm_tokens,prompt_tokens,completion_tokens,llm_cost_usd,total_elements,successful_elements,failed_elements,locator_success_rate,flake_retries,dryrun_repairs,cold_start_s,cleanup_s,locator_timer_count,locator_latency_ms_median,locator_latency_ms_p90,probe_total,probe_unique,duplicate_lookup_rate
q04,"Go to https://the-internet.herokuapp.com/tables and click on the first table ""edit"" link in the row containing ""Smith""",2,bc8e2906-730a-434e-bd59-bfd9af69e637,2026-07-03T19:28:08,complete,passed,,2.027,38.403,1.01,4.058,6.267,51.851,14,102440,98819,3621,0.1808175,1,1,0,1.0,0,0,1.826,11.418,1,115.8,115.8,0,0,0.0
q04,"Go to https://the-internet.herokuapp.com/tables and click on the first table ""edit"" link in the row containing ""Smith""",3,2f2191c5-800b-424d-8d06-25724f9ff0c9,2026-07-03T19:29:01,complete,passed,,2.013,40.386,2.02,4.027,6.056,54.603,14,102014,98294,3720,0.1736449,1,1,0,1.0,0,0,1.677,11.419,0,,,0,0,0.0
q05,"Go to https://the-internet.herokuapp.com/tables and get the text from the first row, second column of Table 1",1,1a3ef446-3e18-404e-aab5-8bf312712a9b,2026-07-03T19:29:58,complete,passed,,2.02,39.373,2.019,2.021,5.696,51.215,14,101927,98190,3737,0.1736424,1,1,0,1.0,0,0,1.692,11.326,0,,,0,0,0.0
q05,"Go to https://the-internet.herokuapp.com/tables and get the text from the first row, second column of Table 1",2,fee76102-b6d6-4c2a-9dc9-5c5ccf0e93c6,2026-07-03T19:30:51,complete,passed,,2.027,40.414,2.011,3.02,6.075,53.617,14,102044,98422,3622,0.180231,1,1,0,1.0,0,0,2.037,11.35,1,118.6,118.6,0,0,0.0
q05,"Go to https://the-internet.herokuapp.com/tables and get the text from the first row, second column of Table 1",3,9313c7d6-5d34-4978-8c00-dab9b6105137,2026-07-03T19:31:46,complete,passed,,15.147,47.493,2.02,3.04,6.123,73.897,14,102282,98410,3872,0.182463,1,1,0,1.0,0,0,1.785,11.354,0,,,0,0,0.0
q06,"Go to https://demoqa.com/webtables, type ""Cierra"" in the search box, and verify the table rows only have data of Cierra",1,c8655dc1-2552-410b-850d-9d07541bfb65,2026-07-03T19:33:02,complete,passed,,8.093,46.474,3.03,4.036,5.238,66.965,15,122434,116554,5880,0.2131823,2,2,0,1.0,0,0,1.728,11.487,1,267.7,267.7,0,0,0.0
q06,"Go to https://demoqa.com/webtables, type ""Cierra"" in the search box, and verify the table rows only have data of Cierra",2,fcbba319-e094-47d4-83c9-459b48fb0a5c,2026-07-03T19:34:10,complete,passed,,4.042,69.716,39.385,3.025,4.997,121.244,16,139597,132883,6714,0.2524581,3,3,0,1.0,0,0,2.096,11.633,2,335.25,400.5,0,0,0.0
q06,"Go to https://demoqa.com/webtables, type ""Cierra"" in the search box, and verify the table rows only have data of Cierra",3,3605f5fa-774e-42ac-8fb8-0df02190adf9,2026-07-03T19:36:13,complete,passed,,17.222,47.487,2.011,4.038,4.963,75.817,18,144698,139228,5470,0.2362087,2,2,0,1.0,1,0,1.797,11.428,1,211.7,211.7,0,0,0.0
q07,"Go to https://www.saucedemo.com, type standard_user in the username field, type secret_sauce in the password field, click the Login button, and verify the products page shows the Products heading",1,50f42aa3-73be-48c8-91bf-e4d5bbe5be5d,2026-07-03T19:37:31,complete,passed,,3.042,45.482,2.022,9.091,4.372,64.096,18,154634,147097,7537,0.2739064,4,4,0,1.0,1,1,1.909,11.358,0,,,0,0,0.0
q07,"Go to https://www.saucedemo.com, type standard_user in the username field, type secret_sauce in the password field, click the Login button, and verify the products page shows the Products heading",2,6340602a-c4be-4bb6-8fe2-53fafd460165,2026-07-03T19:38:36,complete,passed,,3.028,55.557,2.024,8.089,3.831,72.622,21,180699,173010,7689,0.3141394,4,4,0,1.0,2,1,1.719,11.337,0,,,0,0,0.0
q07,"Go to https://www.saucedemo.com, type standard_user in the username field, type secret_sauce in the password field, click the Login button, and verify the products page shows the Products heading",3,173e0fb6-7b6e-48f4-b5bb-810e459444b6,2026-07-03T19:39:51,complete,passed,,3.04,66.659,3.034,4.019,3.972,80.839,26,248747,241492,7255,0.4056858,4,4,0,1.0,2,0,2.008,11.27,0,,,0,0,0.0
q08,"Go to https://the-internet.herokuapp.com/dropdown, select Option 2 from the dropdown, and verify Option 2 is selected",1,dc2528f2-18e8-43cb-9f54-9d8d434658a1,2026-07-03T19:41:13,complete,passed,,3.042,46.489,2.021,3.042,5.832,60.498,24,203151,197469,5682,0.3473415,2,2,0,1.0,2,0,1.802,11.446,0,,,0,0,0.0
q08,"Go to https://the-internet.herokuapp.com/dropdown, select Option 2 from the dropdown, and verify Option 2 is selected",2,34c5b7b6-0a15-49f1-9b07-dcb72b93f992,2026-07-03T19:42:15,complete,passed,,3.04,35.356,3.031,4.052,6.114,51.686,15,118326,112807,5519,0.21159630000000001,2,2,0,1.0,0,0,2.007,11.33,0,,,0,0,0.0
q08,"Go to https://the-internet.herokuapp.com/dropdown, select Option 2 from the dropdown, and verify Option 2 is selected",3,4dd9c43d-93d6-4ccc-a623-ffbbc9cc78ce,2026-07-03T19:43:09,complete,passed,,3.031,41.41,1.009,4.04,6.842,56.431,24,205069,199096,5973,0.34512489999999996,2,2,0,1.0,2,0,2.009,11.435,0,,,0,0,0.0
q09,"Go to https://the-internet.herokuapp.com/iframe, type Hello Bench into the text editor inside the iframe, and verify the editor contains Hello Bench",1,c667948f-6b33-4838-91ce-dd4a7edf4e5e,2026-07-03T19:44:07,complete,failed,,4.055,36.343,2.018,4.044,7.571,54.13,14,105477,99735,5742,0.19399529999999998,1,1,0,1.0,0,0,1.787,11.393,0,,,0,0,0.0
q09,"Go to https://the-internet.herokuapp.com/iframe, type Hello Bench into the text editor inside the iframe, and verify the editor contains Hello Bench",2,b89b2dca-690f-4c46-a33f-875e3800c0b8,2026-07-03T19:45:03,complete,failed,,3.038,37.366,2.021,4.058,6.802,53.373,14,105014,99596,5418,0.19088090000000002,1,1,0,1.0,0,0,1.793,11.351,1,151.3,151.3,0,0,0.0
q09,"Go to https://the-internet.herokuapp.com/iframe, type Hello Bench into the text editor inside the iframe, and verify the editor contains Hello Bench",3,935e2f51-2f79-4987-b616-6eb8f29c05a2,2026-07-03T19:45:59,complete,failed,,3.038,35.306,2.025,3.026,6.231,49.707,14,105080,99654,5426,0.183753,1,1,0,1.0,0,0,1.965,11.375,1,84.2,84.2,0,0,0.0
q10,"Go to https://books.toscrape.com, get the titles of all books on the first page, and verify there are 20 books",1,9116d016-dc00-406b-83fa-ddb27242d46c,2026-07-03T19:46:51,complete,passed,,2.017,41.373,2.024,4.036,5.954,55.493,23,199485,193677,5808,0.33548859999999997,1,1,0,1.0,2,0,1.987,11.42,1,83.6,83.6,0,0,0.0
q10,"Go to https://books.toscrape.com, get the titles of all books on the first page, and verify there are 20 books",2,f0f5e349-d0e3-4ad8-87f7-bd415d3f2620,2026-07-03T19:47:48,complete,passed,,2.027,91.801,2.018,4.041,6.206,106.214,35,407854,399110,8744,0.6262693,2,2,0,1.0,2,0,1.745,11.637,13,56.7,78.1,0,0,0.0
q10,"Go to https://books.toscrape.com, get the titles of all books on the first page, and verify there are 20 books",3,0d4e3a85-c99d-4387-8e73-474190dee0dc,2026-07-03T19:49:36,complete,passed,,2.03,36.354,2.015,3.008,5.982,49.483,14,105378,100946,4432,0.17673250000000001,1,1,0,1.0,0,0,1.751,11.415,1,77.5,77.5,0,0,0.0
